,Tweets
0,Okay this is melt in your mouth goodness. All hail the carnivore diet. https://t.co/ujoUHlMB9f
1,"@awright4645 @saladeaufromage I'm not promoting it on that basis, I'm saying that a few people choose it to improve their health. Fewer people (in this theoretical scenario where everyone did go onto a carnivore diet) would be inevitable. That doesn't mean it's the intention of the diet."
2,"""the carnivore diet is more sinister than you think"""
3,@meat_rx @donlayman @SBakerMD Meatrx how do we ask @donlayman questions 4 show &amp; reply with followups? Stuck with question of how much carbs are required &amp; ideal in ketoadapted person in ketosis on all carnivore diet of 65-70% fat with rest protein to meet blood sugar needs 4 brain/red blood cells/leukocytes?
4,@awright4645 @saladeaufromage You've said yourself that fewer people could be fed on a carnivore diet - a transition to carnivore would therefore reduce more than just food emissions. One of the major drivers of population has been our ability to produce masses of cheap calories.
5,@jomickane @RealDeniseWelch Look into him eating a carnivore diet
6,"@saladeaufromage I don't know why you're being obtuse. It's not about whether the world will shift to carnivore diets. The point is that the small minority of animal products in the human diet are responsible for the majority of its harmful impacts, (e.g. habitat loss, water pollution, etc). So"
7,@ItsFearItSelf Meat has everything the human body needs and nothing it doesn't. The carnivore diet is way healthier.
8,"@saladeaufromage The point is that there's no reason to think a carnivore diet would kill fewer animals, considering that our 18% of animal-derived calories are responsible for 83% of the habitat that's cleared for agriculture and protected from pests, as well as 56-58% of water/air pollution"
9,"@UrsaAnders ""As long as it's meat, I'll eat it."" Though, he did have favorites, like most; just that he won't turn it down. That's just the way it was with being majority carnivore. Anything goes.

It would be nice to have an actual diet and appetite and not just going off rations. He +"
10,@YouLoseFool @Mr_iKeepitreal So how much of this weight loss would you attribute to the carnivore diet and how much would you attribute cutting your caloric intake by about 60%? Great job btw.
11,"Dr honeydip says (correctly, I believe) that sugar does not cause insulin resistance by itself

That's fine

Most people looking at something as ridiculous as a carnivore diet, however, are doing so because they are already insulin resistant."
12,@saladeaufromage It doesn't need to happen for us to see the comparative costs of animal vs plant foods. Animal foods represent a minority of the human food supply yet the vast majority of its environmental impacts. There is zero reason to think a carnivore diet is less harmful or more ethical
13,"Starting A New Era On The Carnivore Diet.

A new era in the Carnivore Diet has just started for me, I have just reached the ripe old age of 65. That makes me an Old Age Pensioner.

https://t.co/vqUONXi9IP"
14,"@livereater2 @tednaiman My diet is inbetween Baker's and Naiman's ""rules"".
Also 'cause doing a high P:E carnivore diet kind of sucks:
i.e. chicken breasts without at least some bell peppers mixed in, make you hate life."
15,"“Vice President Biden, how do you plan to lower healthcare costs? Also, have you ever tried the Carnivore Diet? My buddy Jordan Peterson is on it and he loves it”"
16,I’m so into the carnivore diet I eat the liver chips. No worries just great easy life. https://t.co/7mSkYkv8eN
17,"@ZubyMusic Can confirm. Lifting weights, sunbathing, carnivore diet and fixing my sleep.

My life circumstances haven't really improved at all, but I'm not depressed any more.

Also I'm way more jacked now."
18,Carnivore diet 💀 https://t.co/E4MOaoIT2r
19,"So to summarise:

- Veganism's ethical claims are outperformed by a regenerative agriculture carnivore diet.

- Its health claims are now considered pseudoscience.

So is the only thing that's left the environmental argument?"
20,Carnivore Diet Clinical Trial https://t.co/Ul5L1vsnQ5
21,@LaMonicaBuzz Carnivore diet changed my life. Fuck this vegetable oil shit.  What a hoax $bynd
22,"@AceofAll_Trades got a question for you.
How many times a day do you eat on the Carnivore diet?"
23,"This is what I typically eat for breakfast on the #carnivore diet. Applegate Naturals chicken sausage and bacon, both sugar-free 😋 https://t.co/UG6WeBKJWi"
24,"@PeterVagasi @jmclennan8 Nutjob is right. I didn't sign my donor card because organs are big business and have to be harvested while you're alive. Follow the math through on that one.

Moving on, thanks to captain weirdo balls, I think I'm ready to make the move to carnivore diet for a few weeks finally."
25,"@__shakinah Research indicates 70% of vegans quit.
Some become 'carnivore' activists because their experiences were so bad.
Others manage a vegan diet long term.
Good luck."
26,@californiasun1 @realfoodcures @SBakerMD Carnivore diet has absolutely nothing to do with chiropractic care.
27,joe have you ever seen a video of a chimpanzee eating a guys face off. that’s crazy bro. pull that shit up. donald you ever done DMT? the carnivore diet is pretty insane bro those guys are ripped as shit. you guys ever tried elk meat? I’ll give you some after the show don’t worry https://t.co/vhQZhPHBj5
28,"@FoldableHuman Dr Ken Barry, who is carnivore right now suggested that it is likely to do with whether you have Neanderthal DNA or not. Which makes sense, the reason there's no diet for everyone, is due to genetic predispositions.
I'm probably 90% carnivore and have been for a few months..."
29,"@drandyphung Hey Doc, what’s your thought on low-dose aspirin for guys over 50 on the carnivore diet? Is that something we should still take if we’re otherwise healthy?"
30,"@GuruAnaerobic It's the basis of the carnivore diet and why it works wonders as an anti-inflammatory diet. 

Plants don't want to get eaten and thus produce chemicals some useful and some not so - causing inflammation. 

Animals don't want to get eaten - they have evolved to run and hide."
31,"@humansnydercut probably also true, but the only ones I'd expect a carnivore diet to really make sense for are fairly pure arctic aborigines

maybe ok for you, ice n*gger"
32,@fhoxfit Are on the carnivore diet?🌚
33,"@RedinMyCup I'll return to baseline diet for 5-7 days which is 73/27 hamburgers, carnivore bars (pemmican), and butter"
34,"@home_grown_sanc doing a 100% carnivore diet as a reset might be worth considering...

adding back 1 thing at a time will reveal much more about your own personal N=1...

what is Ok for others may not be good for you &amp; carnivore is a good tool for determining the good from bad... jus sayin..."
35,"@SBakerMD I have a patient with ankylosing spondylitis. On carnivore diet now for 3 weeks. He says he has more benefit now than 20 years of medicine. He wrote a great testimonial.
He even *slowly* ran a quarter mile with his 5 year old and did not get sore.
Thanks @SBakerMD"
36,Joe Rogan: Ok fellas first question who would win in a fight a chimpanzee on the carnivore diet or 25 new york city rats on DMT https://t.co/gLAiuhiEkQ
37,@awayslice @hodl_american Talked to my wife the other day and am giving the intermittent fast and carnivore diet a go... so far I'm about 2 days in... I'm using the Zero app and although I did 16 hours the first two days the coach now has me doing 4 13 hour fasts this week.
38,"@maslover9 @AdorDNI @flolong ""Joe Rogan - Jordan Peterson's Carnivore Diet Cured His Depression?"" en YouTube"
39,Joe Rogan ate an all meat diet and thought it was a good idea. The man is a moron and the very definition of toxic masculinaity. https://t.co/vWfK68zmXD
40,"@AetiusRF ""Joe have you tried the carnivore diet"""
41,I think if you do IF and keto or carnivore you’re doing definitely better than fasting and calorie counting diet. Tissue gets much tighter as less water retention due to less insulin and certainly enough collagen to rebuild skin. https://t.co/2QjrSQf0DU
42,"If we compare two athletes with the same workout routines, sleep, lifestyle, body composition &amp; body markers, By everything being the same.

Except one on carnivore diet &amp; other on SAD.

The SAD athlete will fail to catch up with the carnivore athlete."
43,"@catturd2 A good example of this is when I switched my diet to Keto/Carnivore, I lost 100 lbs, BP back to normal and reversed my Diabetes. No longer take any meds. People still criticize. I tell them to fuck off."
44,"@Travis_Statham @DoctorTro So how do you justify your stance on the carnivore-like diet in the face of uncertainty? It is intellectually dishonest to hold a position of uncertainty? You've changed the topic entirely, which comes back to my point about gaslighting."
45,"Common Name: African lions

Scientific Name: Panthera leo

Type: Mammals

Diet: Carnivore

Group Name: Pride

Size: Head and body, 4.5 to 6.5 feet; tail, 26.25 to 39.5 inches

Weight: 265 to 420 pounds"
46,"One of the most noticeable things on a carnivore diet is recovery.

Recovery becomes RAPID.

For example, on a hard-hitting leg day, you'll have problems walking next 2 days (up to 3). On carnivore, you'll just be feeling them. No real soreness/difficulty moving.

Magnificent."
47,"I admit it, I've been skeptical of the carnivore diet even though I've been naturally trending in that direction for years myself. 

This episode red pilled me in the first 30 minutes. https://t.co/CXKTlNN8Xg"
48,"The rise of ultra-processed foods and why they're really bad for our health https://t.co/EmkgHsQcnx @PhilBakerNZ 

Keto, Fasting, LCHF Diet
https://t.co/jeNbXbYnDP
#lchf #carnivore #IF #intermittentfasting #diet https://t.co/Mh04G6qt4d"
49,"@jhestolano @Mangan150 I think it is possible. This site is collecting disease reversals and there are currently 3 who have had success vs. Ankylosing spondylitis via Carnivore Diet.

https://t.co/Czhi5tOJQO"
50,@ii1111 @ZubyMusic @ChrisPalmerMD @JoeKalb50 https://t.co/bm3euRIbbb
51,Joe Rogan would be the worst person to host the presidential debates. He can't moderate and gets flustered with more than one guest. He can't even stay on the topic that he himself brings up 99% of the time. Jamie pull up that video search 'coyote bigfoot carnivore diet'
52,@ZubyMusic I had complete recovery from 38 years of depressive symptoms. Interview by @DoctorTro &amp; @BrianLenzkes here https://t.co/PCVaSXSWcl &amp; here by @JoeKalb50 here https://t.co/8aJxGyoSkn along with this came complete remission of diabetes &amp; GERD Diet ketoAF/carnivore. YMMV worth a try
53,"""So like uhh whats your stance on the carnivore diet?""

""Bros, so like the whole country has to try LSD. What do you think of that""

https://t.co/uwfx5eoc6M"
54,@GloriousAsena @mentalunchained Carnivore diet 👍
55,"@StrawberryWhiff @xmanishaa true I agree. IMO one should go on extreme diets like carnivore, vegan, IF whatever and see if it suits them and slowly add (good) food from their original diet and they can know what is causing them to gain weight."
56,Can we find this study of 1% for psoriasis? Sounds like another benefit of the carnivore diet. https://t.co/Tah94CguJV
57,"In this article, Dustin Moore weighs in on the science behind this diet as well as provide you with his professional perspective on this new weight loss craze. #carnivorediet #diets #nutrition
https://t.co/sk90tg58R0"
58,The Carnivore Diet: Is the All-meat Diet Healthy or Crazy? https://t.co/82lvLodVEg
59,Weight Watchers Coach turns to the Keto / Carnivore diet and puts Lupus ... https://t.co/92IICiaVFc via @YouTube
60,🆕DANGERS Of The Carnivore Diet ▶ Registered Dietitian Speaks Out: URGENT... https://t.co/vLJz0QOTsL via @YouTube
61,@carnivore_drumr @MattReplace @kevinnbass @ChrisMasterjohn @chriskresser @drmarkhyman @robbwolf @SustainableDish Sorry to hear that! Glad you found a diet that works for you.
62,@SteakAndIron Lionel diet.  Middle of the road carnivore.
63,"@Aristophaenes @jralvins @FoldableHuman Yeah, I'm allergic to sulfites and carrageenan and have an oral allergy syndrome reaction to raw walnuts, and if I didn't know that, the carnivore diet would seem like a lifesaver if I tried it."
64,"Don't you deserve to live without Constipation? Depression? Joint pain? Anxiety? Eczema? Bloating? Skin tags? Insomnia? Headaches? Flaky scalp? Brain fog? Hemorrhoids? 

It's time to think differently about what you put into your mouth #MeatHeals 🥓🍖🥩✌️

https://t.co/YTEybLLvzn"
65,"The most anti-inflammatory natural interventions are:

- carnivore diet
- fasting 
- ozone therapy 
- vitamin C IVs
- cryotherapy 
- hyperbaric oxygen therapy
- PEMF
- infrared light"
66,@nickbailey317 @AbleismCancel @johnpaul_mejia There's plenty of people on a Carnivore diet doing quite well. There's plenty of vegans getting sick from their diets.
67,"@Armendi @bengreenfield i'll follow their pre-roman invasion diet this week but w/out diary and fruits, i'm going full carnivore for a week :) KENTVEJT 😜"
68,@jeremywh0rebyn Interestingly the carnivore peeps say that diet cures those ailments too lmao. Idk better we just do what we want innit.
69,"Before changing to a #carnivorediet, my daughter had acne. This is her skin now after about 1 1/2 years of a carnivore diet. No coverup or powder, no filters. She is also very fit, strong, runs several km per day, does cross-fit, and lifts weights. #CarnivoreKids https://t.co/1X85ViKEEw"
70,might go back on the carnivore diet
71,@theibsdietitian Carnivore diet - do it!!!!!!
72,"@CarnivoreMD  Hi Paul, I (46f, T2D,112kgs). I have been full carnivore 3 months and lost 11kgs so far. My diet usually consist of 200g beef for lunch 2pmish and 400g ribeye for dinnerw/ about 50g butter. Weight loss plateaued 5 weeks ago and now is an absolute crawl part 1/3"
73,"@Brenda44Clarity @drdavidsamadi Follow “the world carnivore tribe” on FB. Dr. Ken Berry, Dr. Saladino, Carnivore Aurelius, plus more information on YouTube about the reversal of many autoimmune diseases on carnivore diet. I have been off thyroid medicine for 2 years now and lost 25 pounds without much effort."
74,"@TyRBeal @MattReplace @kevinnbass @ChrisMasterjohn @chriskresser @drmarkhyman @robbwolf @SustainableDish I ate a ""healthy"" whole food plant-based diet for many years, with lots of cruciferous vegetables and soy protein daily. Ended up with cancer and hypothyroidism."
75,"Sally Norton Oxalates and Carnivore Diet | Hidden Illness from ""Healthy""... https://t.co/4pZE4rvFEc via @YouTube Oxalates and autoimmune disease @DrPaulMason @FructoseNo"
76,"@akivaw @FoldableHuman The Inuit eat more meat than other people, but they do still mix in berries and grains where and when they can. They also eat a lot of parts that the carnivore diet people probably aren't, like the brains."
77,#bitcoin + #carnivorediet + podcast win! 🙏🙏 https://t.co/8XfxmvzZd7
78,he’s the one who was on the carnivore diet and has a kid
79,"So even though I am on a carnivore diet I occasionally have a sip or three of whiskey. Last night was one of those occasions, but I fell victim to myself by eating a keto-bar and boy did my guts pay today. #CarnivoreDiet #GassyAss #whiskey https://t.co/Bqi7piYK8A"
80,@efleforte @vgunvalson I'm so glad you said Keto lifestyle and not diet. Everyone thinks it's a fad diet. It is a healthy way of eating and the only way I can lose weight and keep it off.  It's also not a carnivore diet. You can also be vegan or vegetarian and Keto.
81,"Is an all-meat diet healthy or is it just the latest diet fad for unstable people who need attention?

Let's break it down.
https://t.co/SBJeGzStOc"
82,"@Clustercalm @drdavidsamadi I would look into natural ways to balance the thyroid. I’ve looked into carnivore diet, anti inflammatory diets, supplements like iodine. Check your other hormones too. Functional medicine is the way to go. Good luck https://t.co/7Bkc4ZgQWG"
83,"@saifedean Love your book, but this is fucking disgusting. Carnivore diets are unhealthy as fuck. Lower your time preference, eat a whole food plant based diet."
84,"@tweeterkajiger @preta_6 Carnivore diet is very good if you have an auto immune disorder.

What specifically do you dislike about Peterson's lessons?"
85,@Philodices very intense. To think i lived like that for 2 years as any direct sources of niacin were directly removed from my diet. Even on all beef carnivore. I don't absorb enough tryptophan to convert &amp; make my own niacin. Supping niacinamide has been THE biggest positive change for me
86,@reflexdrip_ Well the first thing I did was stop doing cocaine. That helped a lot. Then I changed my diet from shitty chips and bread centric meals to almost pure carnivore. Meat makes up around 70-80 percent of what I consume now.
87,"@tweeterkajiger @preta_6 I don't believe in the carnivore diet but if he wants to do that's his perogative. 

What did you think of his interview with Cathy Newman?

I think that was popular because we are tired of political reductionism."
88,"@veganhippiesol I figured you had a good approach, but I'm still relieved to see you say that. Having seen so many flip from raw vegan to carnivore, just seeing the word makes me worry.

People who eat like me could definitely benefit from more raw fruit and veg in their diet though."
89,@JasonRCharter Get on the carnivore diet and start lifting weights.
90,"@aubrey_huff Watch and read about Intermittent Fasting and a carnivore diet. Way better, long term. Here’s a good follow...
@Mangan150 
Read his previous tweets. Lots of good info there."
91,@Sunnysi53913347 I'm pretty much carnivore. Went only beef diet for a month and loved it. Now I'm all meat and bit of veggies.
92,"@MactatorMaximus @KetoCarnivore @LogicalLynx @meloegirl @EatLandSalmon @Karageorgos15 @ADreyzen @tednaiman @dramerling @DikemanDave @Mangan150 @bendormiki @robbwolf Aboriginal Aussies were far from carnivore but they did eat a lot of protein, up to 40% in their diet
https://t.co/edvgvoq0tX"
93,Some reason soon or later to social media. The spiritual cleansing beginning today. So wish good luck on the lifestyle journey that I do for awhile. Some youtuber stated that you can't be on the carnivore diet and be spiritual. I believe that it is possible.
94,"There are people who identify as flexitarian; that is, people who eat a plant-centric diet but also eat meat and fish. So, that makes them an omnivore! Don't skirt the issue: Just say you eat meat. #flexitarian #omnivore #diets #diet #carnivore"
95,@drdavidsamadi THC and carnivore diet
96,@salis333 Lupus can be greatly improved or even healed with an autoimmune or carnivore diet. Follow @KetoAurelius and see if he has advice.
97,"@AJA_Cortes Imagine taking 1 of those 20 years... Just 1, do a Carnivore diet, gallon of water every day, lift 4x a week, Max out every major lift once a week... You'd change so much you'd never go back"
98,@MarcLobliner @MarkSmellyBell Carnivore diet!! I’m on my 8th month now &amp; know that @MarkSmellyBell is on the up &amp; up..follow him a lot
99,@MikhailaAleksis Mrs wasp is just practicing the carnivore diet. Notice how slim her waist is. It really works.
100,My bulking diet is pretty much a carnivore diet with rice
101,Thinking about starting a carnivore diet tomorrow
102,"@ketocoachvic Great job! Anything more than just the diet? I ask because I'm still looking like the pic on the left and I've been l/c, carnivore, paleo for quite some time. Thanks!"
103,@LukewarmHoliday @LukewarmEXVS Try eliminating dairy and seed oils- look at if your diet is meeting vitamin and micronutrient RDAs (and how bioavailable those forms are). Carnivore diet literally cured my autoimmune symptoms and stress/anxiety problems. Meat + liver. Its not your fault.. ♥️
104,"@nicolebud5 She's not promoting shit for the vegan movement

She's promoting HERSELF &amp; getting likes from apathetic carnivore diet trend fools

There's not a damn thing that shows concern for the victims in her trash thread"
105,"@NilWil1972 It is healthy. IF you have a good balanced diet. Everything needs balance. We can make things up depending on ourselves as people if we want to be veggie vegan or full carnivore but this is more a societal social issue than what’s best.

Balance has always been the best option"
106,@aubrey_huff @cynthia54831626 I'm the opposite I went on a completely Carnivore diet and I've never had the energy and ummph to go since I started this. If I'm not mistaken Cam Newton went Vegan and he started breaking down fast basically lost his job at Carolina because of it.
107,"@deerock1987 @SBakerMD People usually hear some carnivore success stories, and they try the diet to see how they feel. And then they either stay with the diet or don't. Tim Schief tried it for a while and then went back on fish and rice. A study won't tell you if this works, only experience will."
108,"@aubrey_huff I think it can work for some, but like everything there is definitely a bias behind it. Before jumping on the bandwagon check @SBakerMD videos on carnivore diet. Its other extreme &amp; has transformed my body and more importantly, completely cured my arthritis and chronic back pain"
109,@d7oom_nb @moh_tc نظام جو روقان كان اسمه carnivore diet و هذا دايت مشابه تماماً للكيتو اللهم انه محدود على اللحوم الحمراء و البيض فقط و بعض الاحيان زبده
110,https://t.co/fNCDIJefTh my original post cited Naughton - makes me realize I need to reread a lot of old blogs
111,"@deerock1987 @SBakerMD Elimination of irritants is not the only benefit of the diet. It's also the nutrition present in meat, and that it's usually ketogenic. If you wanna learn why people do this, go watch carnivore yogi on youtube. She's a bit less intense than Dr. Baker, and she has good interviews."
112,"@aubrey_huff Tried it,  didn't like or work. Tried carnivore diet and that was where its at. Keep your man card too :)"
113,@TwoRomans @aubrey_huff Carnivore diet for life.
114,@SBakerMD Testosterone is essential for men. How does carnivore/vegan diet affect it?
115,"Words that come to mind for ""vegan"":
soy
diet
food
eating
kosher
veggie
cheese
organic
cooking
nutrition
fruitarian
carnivore
vegetarian
macrobiotic
vegetarianism

#writing #writers https://t.co/DYnEUP6Uem"
116,"@FreeThinker2pt0 This is a good book to read, talks about why carnivore diet is so good, it goes into our ancestral diet and how our DNA was developed. When we became meat eaters our brains grew, about 15k years ago when we started farming...it started to shrink. Interesting read. https://t.co/dc8myLBppR"
117,"@FreeThinker2pt0 I've lost 100 lbs and reversed my type 2 diabetes and my high BP on a keto-carnivore diet, I take no medication now at all, love me some rib-eyes."
118,@DoctorTro @AviBittMD Fiber added to a carnivore diet? I’d love to see it.
119,"@drdavidsamadi C, D, Zinc &amp; Carnivore diet"
120,"Alrighty guys. Day 1 of the carnivore diet starting at 173 pounds. I’ll be doing this with minimal exercise in the beginning. I’m excited to see how this goes. 

Skipped breakfast and for lunch I had yellow curry chicken! (Curry leftovers from a restaurant)"
121,"@VeganRecovering I'm 50, total carnivore.  I've had zero cavities my entire life.  The Vegan diet is just unhealthy for humans."
122,@HexYoda @Hexologist31 Watch your macros. Limit carbohydrates and you'll manage your hunger much better. A #ketogenic or #carnivore diet is the optimal way to do while intermittent fasting. The best for optimal health too btw but the reason why it helps with hunger is 1) More Protein &amp; 2) Blood sugar.
123,@AquafabaMcGee @soy_milk_latte_ Deffffff i feel like health issues can’t hide on a plant based diet. Carnivore diets are so calorically dense a lot of time ppl don’t feel the symptoms when they should
124,After the #properhumandiet summit I am so glad that I’m learning all of this now. I am a true believer in the carnivore diet! I have so many questions though 😅 thank you for putting this on @KenDBerryMD ! So excited to get healthy
125,"@fartface2000 I’ve been having crazy dreams past two nights and I never dream. 

I thought it was the carnivore diet helping me sleep better."
126,"@TheCatsPooper @aubrey_huff Same, carnivore diet has been the best thing I've done 👌"
127,@RealBrandonDonk @StormWatchGirl Lots of good info on carnivore and keto diet.
128,@aubrey_huff You need to try a strict carnivore diet for a week. Then come back!
129,Paul Saladino: Is Nose-to-Tail Carnivore the Optimal Human Diet? https://t.co/SZR9TCa5XC via @YouTube
130,"About 4.5 years ago I took #Cipro antibiotic for a suspected infection and it destroyed all the tendons and muscles in my legs. The #chronicpain, mostly in my legs, hips, knees, and feet, has persisted for a long time. It’s so much better since I started the #carnivore diet, bu https://t.co/UcByiH57zw"
131,"@aubrey_huff Vegan ROTFL - listen up try being mid sixties jacked/ripped/combat sports/CrossFit strong energizer bunny endurance, sharp mind, never been sick a day in my life and a total carnivore + terrific diet and workaholic. You youngsters and your fad diets."
132,"@aubrey_huff Try the carnivore diet, much better"
133,"@aubrey_huff The only difference to ""vegan"" in the ""beginning"", is the shifting from the standard American diet to a more whole foods approach. But over the long haul the results can be catastrophic... Vegan body builder, turned carnivore (goto 8 min, avoid adds)
https://t.co/OTB6AzMPea"
134,@aubrey_huff You need protein in your diet. Carnivore diet would be WAY better than going vegan
135,"@aubrey_huff Aren’t you supposed to cancel your Netflix subscription? Why are you falling for their vegan propaganda?

Carnivore diet is the way to go!"
136,Any other long-term vegans out there who switched a Carnivore or Ketogenic diet only to find that their teeth are still crumbling and falling apart? Is this from all of our long-term veganism?
137,@KenDBerryMD We’ve found fiber is absolutely non-essential on KETO/ carnivore diet!
138,"@tiredxwitch Thank you ❤ I'm glad it worked for you! It drove me nuts that they couldn't comprehend that it had nothing to do with veganism, I cant do a keto or a carnivore diet without triggering restrictive eating patterns, I wish more people were able to comprehend this stuff."
139,"I don't agree with extremes: Carnivore or Veganism.

People were meant to eat an omnivore diet.

However, if our ancestors were Vegan, we probably wouldn't be here discussing this now."
140,Finna start this carnivore diet
141,Lol imagine forcing a carnivore on a plant based diet
142,"@thatvegantiktok @EspressoAnim8es Imagine using someone's religion to force them on a vegan diet with fear. Karen, you're an atheist. Espresso I'm sure you'll go to heaven. You're better off eating meat than forcing a carnivore on a vegan diet. Isnt that right karen?"
143,"@aubrey_huff Nope, not true... Vegan diet will ruin your health!! Follow Carnivore MD, Dr Ken Berry and Dr Shawn Baker for compelling information on a carnivore diet!! It works!!"
144,@aubrey_huff I don't believe it. I'm on a Carnivore diet and it have recovered my health on this diet. More animals are killed for farming in Veganism than are killed if Carnivore practiced properly. Nose to tail eating.
145,@EatingWell He healthiest diet is a carnivore diet. Plants have low nutrient density and even have antinutrients. Too much fiber can cause severe digestive issues. Carbohydrates have the highest profit margins for food companies.
146,"@CarnivoreMD hi Paul, is it allowed in the carnivore diet to cook meat with garlic or use lemon with fish? Thanks"
147,"I've discovered another FASCINATING subculture to observe/study...carnivore diet people.

To be clear: if they had just stuck with the message that animal fats/proteins/products are a LOT healthier than we've been trained to believe...I'd be all in. 

But they didn't."
148,"There's a false narrative in the paleo diet &amp; carnivore community that calcium bioavailability is much lower in plants than animal foods.

But on average, calcium in many plant foods, particularly dark leafy greens, is just as bioavailable or more than calcium in animal foods. https://t.co/1O0slcPlIn"
149,@amazingatheist Eat only meat for 30 days. Research the carnivore diet. Easiest way to lose weight by far. @CarnivoreMD is a good resource. Good luck! You can do it! 💪🏼
150,@KateShemirani There's so much evidence and studies pointing to low carb / keto / carnivore diets now kate what do you think about them? Also the evidence of sugar including a high carb diet maybe leading to insulin resistance?
151,"The Carnivore Diet Helped This Fitness Coach Lose Weight, but Gave Him Diarrhea for Weeks - https://t.co/PE7Z6lI0Dz https://t.co/WhkS3z8pfI https://t.co/rslmUu3RKi"
152,"@DrMartica @DBelardoMD You say we know lots of vegetables are good for us, yet my body doesn’t agree. I love all food but I feel the best when I eat mostly animal products. I haven’t found conclusive evidence that eating animal products isn’t healthy. Many people advocate carnivore as diet of choice"
153,"It's like using extreme cases (e.g. below) to scaremonger about beef-rich diets

'Scurvy in an unrepentant carnivore'

""The patient admitted to a diet consisting only of Bunker Hill canned beef and other cooked foods, with very minimal fresh fruits or veg""
https://t.co/hXvOJhcvfh https://t.co/vfWY3717Gw https://t.co/Abdt9f9MFS"
154,@aubrey_huff Now look at the carnivore diet.
155,"@Time4KnowIedge It’s why my diet is carnivore and Ketosis from 95% red meat including all the fat... ! And why these animals have rippling muscles without massive workouts. 
Only all red meat diet does it... !"
156,"@aubrey_huff Nope, surprisingly got stronger and better fit at 44 on carnivore diet"
157,@aubrey_huff Watch joe rogan podcast and read Shawn Baker book about the carnivore diet. I did it for 6 weeks and never felt better in my life
158,Just wondering whether I should tell my #vegetarian date from last night that my diet is 95% #carnivore 🤔
159,"@aubrey_huff Look up this man and he will give you the scoop on meat and the carnivore diet that will make sense @KenDBerryMD
Men are genetically meat eaters and hunters, and we can't deny our heritage."
160,"https://t.co/rOxwEQJ80p keto like how many keto cookies can i eat keto versus 
carnivore keto 800 number how often cheat keto to keto food keto versus intermittent 
fasting how often keto strips how many keto meals per day when keto isn't working 
why keto fat bombs"
161,"https://t.co/VLKjESeaMS  keto like 
meals keto like diet plan what keto pills work how many keto drinks per day 1keto 310 
keto 0 pills for keto is it net carbs keto like how many keto cookies can i eat keto versus 
carnivore keto 800 number how often cheat keto to keto food"
162,@laurenthuor fasting and hunting your own carnivore diet seems ideal
163,"Check out the video I made of my early experiences with the carnivore diet

https://t.co/ZliacOKK9X https://t.co/QrthhQTXFW"
164,@GibsonFrog Carnivore diet is based
165,"@SBakerMD And which is more likely the cause of disease? Pretty sure many modern diseases or health problems can be traced to consumption of sugars,grains and vegetable oils. Most people eat all three every time they eat. On the carnivore diet you will never eat any."
166,"@rghvpandey @LifeMathMoney Soy is an industrial product used to make plastic, ink, paint, etc. In veganism, it’s a “transitional” product, that which helps the meat-eater/wanna-be carnivore transition into a meat-free diet (if they’re addicted to the taste and texture of flesh)."
167,@amazingatheist Intermittent fast. 16:8 is an awesome method. One form is on days you don’t exercise skip dinner. On days you do exercise skip breakfast. Eat mostly carnivore diet avoid all liquid calories. Good sleep is equal to good self control.
168,@aubrey_huff Carnivore diet works for me. Reduce or eliminate carbs and enjoy 🥩
